acctno,qty,trandate,tran_channel,price,totamt,orderno,deptdescr
WGQWQDHWG,1,2009-12-31,IB,149.85,149.85,CREUIUKKVUK,Home Audio
WGQWQDHWG,1,2009-12-31,IB,239.85,239.85,CREUIUKKVUK,Home Audio
WGQWQDHWG,1,2009-12-31,IB,299.85,299.85,CREUIUKKVUK,Home Audio
WGQWWPWAQ,1,2009-12-03,IB,59.85,59.85,CRRIINUINVK,Mobile Electronics
WGQWWPWAQ,1,2009-12-03,IB,147,147,CRRIINUINVK,Mobile Electronics
WGQWAYLLD,1,2009-12-21,RT,42,42,CCXEZIUXXXRI,Mobile Electronics
WGQWAYLLD,1,2009-12-21,RT,149.85,149.85,CCXEZIUXXXRI,Small Appliances
WGQWAYLLD,1,2009-12-21,RT,18,18,CCXEZIUXXXRI,Mobile Electronic Accessories
WGQWAYLLD,1,2009-12-21,RT,48,48,CCXEZIUXXXRI,Mobile Electronic Accessories
WGQWAYLLD,1,2009-12-27,RT,38.97,38.97,CCXECRIXXXVI,Mobile Electronics
WGQWAYLLD,1,2009-12-27,RT,29.97,29.97,CCXECRIXXXVI,Mobile Electronics
WGQWAYLLD,1,2009-12-27,RT,44.97,44.97,CCXECRIXXXVI,Mobile Electronics
WGQWAYLLD,1,2009-12-27,RT,21,21,CCXECRIXXXVI,Mobile Electronics
WGQWAYLLD,1,2009-12-27,RT,149.85,149.85,CCXECRIXXXVI,Small Appliances
WGQWAYLLD,1,2009-12-27,RT,74.85,74.85,CCXECRIXXXVI,Small Appliances
WGQPSWLDD,1,2009-12-23,RT,38.85,38.85,CCXKICXXXXNX,Mobile Electronics
WGQPSWLDD,1,2009-12-23,RT,38.85,38.85,CCXKICXXXXNX,Mobile Electronics
WGQPSWLDD,1,2009-12-23,RT,38.85,38.85,CCXKICXXXXNX,Mobile Electronics
WGQPSWLDD,1,2009-12-23,RT,38.85,38.85,CCXKICXXXXNX,Mobile Electronics
WGQPSWLDD,1,2009-12-23,RT,45,45,CCXKICXXXXNX,Mobile Electronics
WGQPSWLDD,1,2009-12-23,RT,105,105,CCXURIIXXXRX,Portable Electronics
WGQHYLYSY,1,2009-12-22,RT,24,24,CCXKUVUXXXNI,Mobile Electronics
WGQHYGWYA,1,2009-12-08,RT,36,36,CCXEUXZXXXRI,Mobile Electronics
WGQHYHWGP,1,2009-12-26,RT,86.97,86.97,CCXEKRZXXXNI,Mobile Electronics
WGQHYHLPL,1,2009-12-15,RT,57,57,CCXRNIVXXXKX,Small Appliances
WGQHYHLPL,1,2009-12-15,RT,84,84,CCXRNIVXXXKX,Mobile Electronics
WGQHYHLPL,1,2009-12-15,RT,30,30,CCXRNIVXXXKX,Small Appliances
WGQHDQPDD,1,2009-12-01,RT,49.5,49.5,CCXCVCIXXXRI,Mobile Electronic Accessories
WGQHDQPDD,1,2009-12-01,RT,31.5,31.5,CCXCVCIXXXRI,Mobile Electronic Accessories
WGQHDQPDD,1,2009-12-01,RT,15,15,CCXCVCIXXXRI,Mobile Electronic Accessories
WGQHDQPDD,1,2009-12-01,RT,32.85,32.85,CCXCVCIXXXRI,Mobile Electronic Accessories
WGQHDWSLG,1,2009-12-12,RT,14.85,14.85,CCXERENXXXNI,Home Audio
WGQHDWSLG,1,2009-12-12,RT,87,87,CCXERENXXXNI,Mobile Electronic Accessories
WGQHDWSLG,1,2009-12-12,RT,31.5,31.5,CCXERENXXXNI,Mobile Electronic Accessories
WGQYQWLQA,1,2009-12-22,RT,149.85,149.85,CCXEXIVXXXNI,Small Appliances
WGQYLSGAY,1,2009-12-19,RT,44.85,44.85,CCXKUIRXXXRI,Mobile Electronics
WGQYLSGAY,1,2009-12-19,RT,31.5,31.5,CCXKUIRXXXRI,Mobile Electronic Accessories
WGQYLSGAY,1,2009-12-19,RT,89.85,89.85,CCXKUIRXXXRI,Mobile Electronics
WGQYLSGAY,1,2009-12-19,RT,78,78,CCXKUIRXXXRI,Mobile Electronic Accessories
WGQYLSGAY,1,2009-12-19,RT,30,30,CCXKUIRXXXRI,Mobile Electronic Accessories
WGQYLSGAY,1,2009-12-19,RT,75,75,CCXKUIRXXXRI,Mobile Electronic Accessories
WGQYLSGAY,1,2009-12-19,RT,61.5,61.5,CCXKUIRXXXRI,Mobile Electronic Accessories
WGQYLSGAY,1,2009-12-19,RT,57,57,CCXKUIRXXXRI,Mobile Electronics
WGQYLSGAY,1,2009-12-22,RT,479.88,479.88,CCXRRKXXXXRI,Home Audio
WGWWAYHHA,1,2009-12-30,RT,359.97,359.97,CCXXNZXXXXRI,Home Audio
WGWPHGWDH,1,2009-12-21,RT,59.85,59.85,CCXKEEXXXXNI,Small Appliances
WGWPHGWDH,1,2009-12-21,RT,97.5,97.5,CCXRICZXXXRI,Portable Electronics
WGWPHGWDH,1,2009-12-21,RT,72,72,CCXRICZXXXRI,Small Appliances
WGWPHGWDH,1,2009-12-21,RT,45,45,CCXRICZXXXRI,Small Appliances
WGWPHGWDH,1,2009-12-26,RT,117,117,CCXEZRRXXXNI,Portable Electronics
WGWPHGWDH,1,2009-12-26,RT,97.5,97.5,CCXEZRRXXXNI,Portable Electronics
WGWLGYLQG,1,2009-12-27,RT,57,57,CCXZEERXXXKI,Mobile Electronics
WGWLGYLQG,1,2009-12-27,RT,24,24,CCXZEERXXXKI,Mobile Electronics
WGWGWQQYP,1,2009-12-11,RT,59.85,59.85,CCXRUIEXXXVC,Small Appliances
WGWGWQQYP,1,2009-12-11,RT,45,45,CCXRUIEXXXVC,Small Appliances
WGWGWQQYP,1,2009-12-11,RT,31.5,31.5,CCXRUIEXXXVC,Small Appliances
WGWGHDWDG,1,2009-12-11,RT,58.5,58.5,CCXVIRUXXXRC,Mobile Electronic Accessories
WGWHWDYHH,1,2009-12-11,RT,40.5,40.5,CCXZNCNXXXVC,Small Appliances
WGWHWDYHH,1,2009-12-11,RT,43.5,43.5,CCXZNCNXXXVC,Mobile Electronic Accessories
WGWYAADPL,1,2009-12-11,RT,45,45,CCXVKIZXXXRX,Mobile Electronic Accessories
WGWYAADPL,1,2009-12-11,RT,38.85,38.85,CCXVKIZXXXRX,Mobile Electronics
WGWYAADPL,1,2009-12-11,RT,38.85,38.85,CCXVKIZXXXRX,Mobile Electronics
WGWYAADPL,1,2009-12-11,RT,79.5,79.5,CCXVKIZXXXRX,Mobile Electronic Accessories
WGWYAADPL,1,2009-12-11,RT,147,147,CCXVKIZXXXRX,Mobile Electronics
WGWYAADPL,1,2009-12-11,RT,30,30,CCXVKIZXXXRX,Mobile Electronics
WGWYAADPL,1,2009-12-11,RT,36,36,CCXVKIZXXXRX,Mobile Electronics
WGWYAADPL,1,2009-12-11,RT,30,30,CCXVKIZXXXRX,Mobile Electronics
WGWYAADPL,1,2009-12-11,RT,45,45,CCXVKIZXXXRX,Mobile Electronics
WGWDSPLWY,1,2009-12-13,RT,78,78,CCXRCVXXXXVI,Mobile Electronic Accessories
WGWDSPLWY,1,2009-12-13,RT,58.5,58.5,CCXRCVXXXXVI,Mobile Electronic Accessories
WGAASPADY,1,2009-12-15,RT,119.85,119.85,CCXNEVEXXXNI,Home Audio
WGAASLPAY,1,2009-12-21,RT,38.97,38.97,CCXNUENXXXNI,Mobile Electronics
WGAASLPAY,1,2009-12-12,RT,14.97,14.97,CCXEEIEXXXKI,Mobile Electronic Accessories
